mcap_bie2019;dur_mat2019;cau_div2019;sexo_1.2019;niv_inst1.2019;p_etnica1.2019;edad_1.2019;sexo_2.2019;p_etnica2.2019;niv_inst2.2019;edad_2.2019;mcap_bie2021;dur_mat2021;cau_div2021;sexo_1.2021;p_etnica1.2021;niv_inst1.2021;edad_1.2021;sexo_2.2021;p_etnica2.2021;niv_inst2.2021;edad_2.2021;mcap_bie2022;dur_mat2022;cau_div2022;sexo_1;p_etnica1.2022;niv_inst1.2022;edad_1.2022;sexo_2;p_etnica2.2022;niv_inst2.2022;edad_2.2022
No;12;Por mutuo consentimiento via judicial;Hombre; Superior no Universitario;Mestizo;41;Mujer;Mestizo; Secundaria;43; No;23;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;47;Mujer;Mestizo; Educación Básica;44; No;32;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;58;Mujer;Mestizo; Educación media / Bachillerato;51
No;13;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;38;Mujer;Mestizo; Primaria;47; No;7; Sin informacion;Hombre;Mestizo; Educación media / Bachillerato;40;Mujer;Mestizo; Superior Universitario;36; No;18;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;53;Hombre;Mestizo; Educación media / Bachillerato;58
No;39;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior Universitario;Mestizo;57;Mujer;Mestizo; Superior Universitario;55; No;3; Sin informacion;Mujer;Mestizo; Educación media / Bachillerato;23;Hombre;Mestizo; Superior no Universitario;23; No;14;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;39;Mujer;Mestizo; Secundaria;34
No;8;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;29;Mujer;Mestizo; Secundaria;27; No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;37;Mujer;Mestizo; Superior no Universitario;37; No;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación Básica;53;Hombre;Mestizo; Educación media / Bachillerato;51
No;24;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;47;Mujer;Mestizo; Primaria;40; No;42;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;71;Hombre;Mestizo; Educación media / Bachillerato;64; No;11;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;38;Mujer;Mestizo; Educación media / Bachillerato;31
No;2;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;36;Mujer;Mestizo; Superior no Universitario;33; Si;9;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;40;Mujer;Mestizo; Educación media / Bachillerato;46; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;34;Mujer;Mestizo; Educación media / Bachillerato;39
No;32;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;56;Mujer;Mestizo; Superior Universitario;57; No;10;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;33;Mujer;Mestizo; Educación media / Bachillerato;32; No;14;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;47;Mujer;Mestizo; Educación media / Bachillerato;46
No;21;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;47;Mujer;Mestizo; Secundaria;44; No;12;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;32;Mujer;Mestizo; Superior Universitario;37; No;2;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior Universitario;27;Mujer;Mestizo; Educación media / Bachillerato;23
No;9;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;37;Mujer;Mestizo; Educacion media o Bachillerato;36; No;18;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;44;Mujer;Mestizo; Superior Universitario;36; No;7;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;36;Mujer;Mestizo; Educación media / Bachillerato;36
No;0;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;20;Mujer;Mestizo; Superior Universitario;19; Sin informacion;30;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;53;Mujer;Mestizo; Educación media / Bachillerato;53; No;13;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;36;Hombre;Mestizo; Superior Universitario;32
No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;52;Hombre;Mestizo; Educacion Basica;45; No;24;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;54;Mujer;Mestizo; Superior Universitario;40; No;20;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;56;Mujer;Mestizo; Educación media / Bachillerato;43
No;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior Universitario;Mestizo;45;Hombre;Mestizo; Secundaria;44; No;4;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Mestizo; Educación media / Bachillerato;25; No;4;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;33;Mujer;Mestizo; Educación media / Bachillerato;32
No;6;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;31;Hombre;Mestizo; Primaria;30; No;17;Por mutuo consentimiento via judicial;Mujer;Mestizo; Superior Universitario;38;Hombre;Mestizo; Superior Universitario;38; No;29;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;55;Mujer;Mestizo; Superior Universitario;57
No;24;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;67;Hombre;Mestizo; Superior no Universitario;56; No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Indígena; Superior Universitario;54;Mujer;Indígena; Superior Universitario;50; No;18;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;44;Hombre;Mestizo; Secundaria;40
No;10;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;56;Hombre;Mestizo; Primaria;51; No;39;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;63;Mujer;Mestizo; Superior Universitario;56; Sin informacion;31;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Montubio; Secundaria;56;Hombre;Mestizo; Educación Básica;49
No;36;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;61;Hombre;Mestizo; Superior Universitario;57; No;15;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;37;Mujer;Mestizo; Superior Universitario;35; Sin informacion;29;El adulterio de uno de los conyuges;Mujer;Indígena; Educación Básica;53;Hombre;Indígena; Educación Básica;56
No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;55;Hombre;Mestizo; Educacion media o Bachillerato;40; No;2;Por mutuo consentimiento via notarial;Hombre;Indígena; Primaria;26;Mujer;Indígena; Secundaria;21; No;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;49;Hombre;Mestizo; Superior Universitario;48
No;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;25;Hombre;Mestizo; Educacion media o Bachillerato;25; No;9;Por mutuo consentimiento via judicial;Mujer;Montubio; Primaria;36;Hombre;Mestizo; Primaria;31; No;14;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior Universitario;66;Hombre;Mestizo; Superior no Universitario;62
No;5;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;33;Hombre;Mestizo; Educacion media o Bachillerato;40; No;9;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;37;Mujer;Mestizo; Secundaria;35; No;6;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;32;Hombre;Mestizo; Educación media / Bachillerato;32
No;11;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;37;Hombre;Mestizo; Educacion media o Bachillerato;33; No;5; Sin informacion;Hombre;Mestizo; Primaria;40;Mujer;Mestizo; Primaria;37; No;6;Por mutuo consentimiento via judicial;Mujer;Mestizo; Superior no Universitario;37;Hombre;Mestizo; Superior Universitario;32
No;7;"El que uno de los conyuges sea ebrio
consuetudinario o toxicomano";Hombre; Educacion Basica;Mestizo;30;Mujer;Mestizo; Educacion Basica;32; No;0;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;71;Hombre;Mestizo; Secundaria;57; No;23;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;43;Hombre;Mestizo; Educación Básica;49
No;6;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Mestizo;32;Mujer;Mestizo; Educacion Basica;24; No;38;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;57;Hombre;Mestizo; Secundaria;57; No;27;Por mutuo consentimiento via notarial;Mujer;Mestizo; Primaria;44;Hombre;Mestizo; Secundaria;42
No;23;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;48;Mujer;Mestizo; Primaria;47; No;41;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;63;Mujer;Mestizo; Superior no Universitario;60; No;25;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;51;Hombre;Mestizo; Educación media / Bachillerato;50
Sin informacion;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;45;Mujer;Mestizo; Educacion media o Bachillerato;45; No;7;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;45;Mujer;Mestizo; Superior no Universitario;36; No;7;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;37;Mujer;Mestizo; Secundaria;40
Sin informacion;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;63;Mujer;Mestizo; Primaria;55; Sin informacion;1;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;54;Mujer;Mestizo; Educación media / Bachillerato;52; No;4;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;31;Mujer;Mestizo; Educación Básica;28
No;2;Por mutuo consentimiento via notarial;Hombre; Educacion Basica;Mestizo;50;Mujer;Mestizo; Educacion Basica;38; No;19;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior no Universitario;47;Mujer;Mestizo; Secundaria;39; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;65;Mujer;Mestizo; Educación media / Bachillerato;65
No;8;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;39;Mujer;Mestizo; Superior Universitario;42; No;20;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;42;Mujer;Mestizo; Primaria;38; No;9;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Blanco; Sin información;29
No;16;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;38;Mujer;Sin informacion; Educacion media o Bachillerato;41; No;17;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior Universitario;37;Hombre;Mestizo; Superior Universitario;38; Sin informacion;33;Por mutuo consentimiento via notarial;Hombre;Afroecuatoriano/afrodescendiente; Educación Básica;76;Mujer;Mestizo; Educación Básica;61
No;17;Por mutuo consentimiento via judicial;Hombre; Primaria;Indigena;35;Mujer;Indigena; Primaria;34; No;22;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;38;Mujer;Mestizo; Secundaria;55; No;16;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior no Universitario;41;Mujer;Mestizo; Educación media / Bachillerato;40
No;36;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion Basica;Mestizo;57;Mujer;Mestizo; Educacion media o Bachillerato;59; No;22;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;50;Hombre;Mestizo; Primaria;45; No;8;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación Básica;26;Hombre;Mestizo; Educación Básica;25
No;37;Por mutuo consentimiento via notarial;Hombre; Educacion Basica;Mestizo;62;Mujer;Mestizo; Educacion Basica;69; No;22;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Superior Universitario;42;Mujer;Mestizo; Superior no Universitario;40; No;24;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;55;Mujer;Mestizo; Educación media / Bachillerato;54
No;26;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;50;Mujer;Mestizo; Superior Universitario;46; No;18;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;56;Mujer;Mestizo; Superior Universitario;55; No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;27;Mujer;Mestizo; Educación media / Bachillerato;28
No;11;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;38;Mujer;Mestizo; Educacion media o Bachillerato;30; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;37;Mujer;Mestizo; Secundaria;34; No;23;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;43;Hombre;Mestizo; Educación media / Bachillerato;43
No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer; Educacion media o Bachillerato;Mestizo;62;Mujer;Mestizo; Educacion Basica;48; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;30;Mujer;Mestizo; Educación media / Bachillerato;28; No;23;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;44;Mujer;Mestizo; Educación media / Bachillerato;45
No;8;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;32;Mujer;Mestizo; Educacion media o Bachillerato;29; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Superior Universitario;39;Mujer;Mestizo; Superior Universitario;29; No;31;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior Universitario;58;Hombre;Mestizo; Educación media / Bachillerato;54
No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior Universitario;Mestizo;30;Mujer;Mestizo; Educacion media o Bachillerato;38; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;53;Mujer;Mestizo; Educación Básica;49; No;16;Por mutuo consentimiento via judicial;Hombre;Blanco; Superior no Universitario;50;Mujer;Blanco; Superior no Universitario;45
No;12;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior Universitario;Mestizo;33;Mujer;Mestizo; Superior Universitario;31; No;11;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;37;Mujer;Mestizo; Secundaria;35; No;25;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior no Universitario;45;Hombre;Blanco; Superior no Universitario;43
No;2;Por mutuo consentimiento via notarial;Mujer; Educacion media o Bachillerato;Mestizo;22;Mujer;Mestizo; Educacion media o Bachillerato;23; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Primaria;32;Hombre;Mestizo; Primaria;26; No;1;Por mutuo consentimiento via notarial;Hombre;Blanco; Superior no Universitario;37;Mujer;Mestizo; Superior Universitario;37
No;4;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Indigena;74;Mujer;Indigena; Primaria;53; No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;56;Mujer;Mestizo; Superior no Universitario;66; Sin informacion;15; Sin informacion;Mujer;Mestizo; Secundaria;37;Hombre;Mestizo; Secundaria;35
No;11;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Mestizo;42;Hombre;Mestizo; Educacion Basica;37; No;14;Por mutuo consentimiento via judicial;Mujer;Mestizo; Primaria;35;Hombre;Mestizo; Primaria;32; No;12;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;43;Mujer;Mestizo; Educación media / Bachillerato;37
No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Indigena;34;Mujer;Indigena; Secundaria;31; No;13;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;50;Mujer;Mestizo; Superior Universitario;28; No;6;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Mestizo; Educación media / Bachillerato;32
No;9;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;39;Mujer;Mestizo; Educacion Basica;36; No;7;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;48;Mujer;Mestizo; Educación media / Bachillerato;22; No;14;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;59;Mujer;Mestizo; Educación media / Bachillerato;40
No;16;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;40;Mujer;Mestizo; Superior Universitario;38; No;0;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;45;Mujer;Mestizo; Educación media / Bachillerato;31; No;27;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;47;Hombre;Mestizo; Educación media / Bachillerato;61
No;7;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;35;Mujer;Mestizo; Secundaria;31; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;38;Mujer;Mestizo; Educación media / Bachillerato;27; No;11;Por mutuo consentimiento via notarial;Hombre;Blanco; Superior no Universitario;29;Mujer;Mestizo; Superior no Universitario;28
No;6;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;28;Mujer;Mestizo; Secundaria;24; No;13;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;41;Mujer;Mestizo; Educación media / Bachillerato;42; Sin informacion;3; Sin informacion;Hombre;Mestizo; Secundaria;59;Mujer;Mestizo; Secundaria;57
No;8;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;27;Mujer;Mestizo; Educacion media o Bachillerato;25; No;6;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;39;Mujer;Mestizo; Educación Básica;27; No;44;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;67;Mujer;Blanco; Primaria;65
No;7;Por mutuo consentimiento via judicial;Mujer; Educacion media o Bachillerato;Mestizo;25;Hombre;Sin informacion; Educacion media o Bachillerato;28; No;10;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;36;Mujer;Mestizo; Educación Básica;36; No;8;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;30;Hombre;Mestizo; Educación media / Bachillerato;28
No;4;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Afroecuatoriano/afrodescendiente;26;Hombre;Mestizo; Superior Universitario;24; No;8;Por mutuo consentimiento via notarial;Mujer;Mestizo; Primaria;31;Mujer;Mestizo; Primaria;33; No;6;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;36;Mujer;Mestizo; Educación media / Bachillerato;30
No;38;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;62;Mujer;Mestizo; Primaria;56; No;14;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Mestizo; Educación media / Bachillerato;39; No;7;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;37;Mujer;Mestizo; Educación media / Bachillerato;39
No;5;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;29;Mujer;Mestizo; Educacion media o Bachillerato;24; No;12;Por mutuo consentimiento via judicial;Hombre;Mestizo; Primaria;34;Mujer;Mestizo; Primaria;36; Sin informacion;24; Sin informacion;Hombre;Blanco; Superior Universitario;51;Mujer;Blanco; Sin información;45
No;4;Por mutuo consentimiento via judicial;Mujer; Educacion media o Bachillerato;Mestizo;27;Hombre;Mestizo; Educacion media o Bachillerato;27; No;4;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;39;Mujer;Mestizo; Educación Básica;26; No;8;Por mutuo consentimiento via judicial;Hombre;Blanco; Educación media / Bachillerato;38;Mujer;Blanco; Sin información;36
No;14;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;35;Mujer;Mestizo; Educacion media o Bachillerato;31; No;4;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;40;Mujer;Mestizo; Superior Universitario;35; No;39;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;59;Mujer;Mestizo; Educación Básica;60
No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;39;Mujer;Mestizo; Educacion media o Bachillerato;35; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;35;Mujer;Sin información; Educación media / Bachillerato;41; No;5;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior Universitario;36;Hombre;Mestizo; Superior Universitario;32
No;17;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;36;Mujer;Mestizo; Educacion media o Bachillerato;32; No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Indígena; Primaria;45;Mujer;Indígena; Primaria;42; Sin informacion;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;41;Hombre;Mestizo; Educación Básica;38
No;14;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;40;Mujer;Mestizo; Superior Universitario;39; No;8;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;35;Mujer;Mestizo; Educación media / Bachillerato;28; No;10;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;41;Hombre;Mestizo; Educación media / Bachillerato;44
No;6;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;29;Mujer;Mestizo; Educacion media o Bachillerato;29; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación Básica;26;Mujer;Mestizo; Educación Básica;23; Sin informacion;17; Sin informacion;Hombre;Mestizo; Secundaria;39;Mujer;Mestizo; Superior Universitario;37
No;19;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;40;Mujer;Mestizo; Educacion media o Bachillerato;37; No;20;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;50;Mujer;Mestizo; Superior Universitario;58; No;3;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;28;Mujer;Mestizo; Superior no Universitario;28
No;26;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;52;Mujer;Mestizo; Educacion media o Bachillerato;52; No;16;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;39;Mujer;Mestizo; Educación media / Bachillerato;41; No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Primaria;30;Mujer;Mestizo; Educación media / Bachillerato;30
No;2;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;48;Mujer;Mestizo; Primaria;47; No;8;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;49;Mujer;Mestizo; Educación media / Bachillerato;37; No;30;Por mutuo consentimiento via notarial;Hombre;Blanco; Superior no Universitario;56;Mujer;Mestizo; Superior no Universitario;50
No;12;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;47;Hombre;Sin informacion; Primaria;38; No;23;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación media / Bachillerato;43;Hombre;Mestizo; Educación media / Bachillerato;40; No;8;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;29;Mujer;Mestizo; Educación media / Bachillerato;27
No;19;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;49;Mujer;Mestizo; Superior Universitario;56; No;12;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;33;Mujer;Mestizo; Educación Básica;31; No;1;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;28;Mujer;Mestizo; Educación media / Bachillerato;27
No;12;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;37;Mujer;Mestizo; Primaria;38; No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación media / Bachillerato;58;Hombre;Mestizo; Educación media / Bachillerato;53; No;2;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;29;Mujer;Mestizo; Educación media / Bachillerato;26
No;20;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;55;Hombre;Mestizo; Primaria;45; No;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Superior Universitario;46;Mujer;Mestizo; Educación media / Bachillerato;40; No;4;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;33;Hombre;Mestizo; Superior Universitario;33
No;20;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;54;Hombre;Mestizo; Educacion media o Bachillerato;52; No;1;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;23;Mujer;Mestizo; Superior Universitario;21; No;21;Por mutuo consentimiento via notarial;Mujer;Mestizo; Primaria;54;Hombre;Mestizo; Primaria;50
No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;53;Hombre;Mestizo; Educacion media o Bachillerato;53; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;23;Mujer;Mestizo; Educación media / Bachillerato;21; No;22;Por mutuo consentimiento via notarial;Mujer;Mestizo; Primaria;58;Hombre;Mestizo; Primaria;43
No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;30;Hombre;Mestizo; Primaria;21; No;25; Sin informacion;Hombre;Indígena; Educación Básica;44;Mujer;Indígena; Primaria;46; No;36;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;56;Mujer;Mestizo; Educación Básica;54
